range_id,e_min_mev,e_max_mev,n_cells,used_energies,missing_energies,dose_depth_cm,dose_at_depth_mgy_per_yr,mean_primary_penetration_cm,mean_secondary_ke_mev,mean_secondary_penetration_cm,deposited_fraction,backscatter_fraction,lateral_escape_fraction,forward_escape_fraction,escaped_electron_fraction,escaped_photon_fraction,nondeposited_escaped_electron_fraction,nondeposited_escaped_photon_fraction,nondeposited_unresolved_fraction,backscatter_electron_fraction,backscatter_photon_fraction,lateral_escape_electron_fraction,lateral_escape_photon_fraction,backscatter_flux_mev_cm2_s,lateral_escape_flux_mev_cm2_s,forward_escape_flux_mev_cm2_s,escaped_electron_flux_mev_cm2_s,escaped_photon_flux_mev_cm2_s,backscatter_electron_flux_mev_cm2_s,backscatter_photon_flux_mev_cm2_s,lateral_escape_electron_flux_mev_cm2_s,lateral_escape_photon_flux_mev_cm2_s,jde_flux_cm2_s,jde_energy_flux_model_mev_cm2_s,deflected_fraction,deflected_flux_mev_cm2_s
50,0.01,0.0617156344,2,159,0,0.00995,0.0637982995,0.00126379201,1.43925242e-05,0.00126431319,0.861669652,0.138330329,0,0,0.138330329,0,0.999999866,0,1.33714027e-07,0.138330329,0,0,0,717992.301,0,0,717992.301,0,717992.301,0,0,0,212836709,5151344.73,0.138330348,717992.397
51,0.01,0.0664371824,4,165,0,0.00995,0.151218808,0.00136184162,1.4741788e-05,0.00136233661,0.861907929,0.138092053,0,0,0.138092053,0,0.999999873,0,1.26687044e-07,0.138092053,0,0,0,757817.283,0,0,757817.283,0,757817.283,0,0,0,217479983,5448695.11,0.138092071,757817.379
52,0.01,0.0694128007,4,169,0,0.00995,0.218813428,0.0014228932,1.49550291e-05,0.0014233661,0.862010568,0.137989415,0,0,0.137989415,0,0.999999877,0,1.22738541e-07,0.137989415,0,0,0,782196.257,0,0,782196.257,0,782196.257,0,0,0,220141993,5629449.78,0.137989432,782196.353
53,0.01,0.0752381692,4,176,0,0.00995,0.368125669,0.00154344941,1.5345422e-05,0.00154388745,0.862103371,0.137896613,0,0,0.137896613,0,0.999999884,0,1.15999342e-07,0.137896613,0,0,0,827639.33,0,0,827639.33,0,827639.33,0,0,0,224852470,5969833.13,0.137896629,827639.426
54,0.01,0.0925727663,4,194,0,0.00995,0.822455619,0.00190142746,1.64409725e-05,0.00190189282,0.862726517,0.137273469,0,0,0.137273469,0,0.999999897,0,1.03457193e-07,0.137273469,0,0,0,950794.501,0,0,950794.501,0,950794.501,0,0,0,235934117,6894230.22,0.137273483,950794.6
55,0.01,0.102448417,4,203,0,0.00995,1.04682583,0.00210335718,1.70159444e-05,0.00210385534,0.863009371,0.136990616,0,0,0.136990616,0,0.999999903,0,9.69745602e-08,0.136990616,0,0,0,1014353.87,0,0,1014353.87,0,1014353.87,0,0,0,240846226,7372500.31,0.136990629,1014353.97
56,0.01,0.105320098,4,205,0,0.00995,1.12290646,0.00216126453,1.71784136e-05,0.00216176869,0.863276862,0.136723125,0,0,0.136723125,0,0.999999905,0,9.54438295e-08,0.136723125,0,0,0,1030622.1,0,0,1030622.1,0,1030622.1,0,0,0,242130711,7505973.53,0.136723138,1030622.2
57,0.01,0.110286222,2,209,0,0.00995,1.21368318,0.00226677315,1.74904677e-05,0.00226727067,0.863817214,0.136182773,0,0,0.136182773,0,0.999999907,0,9.30395907e-08,0.136182773,0,0,0,1057254.39,0,0,1057254.39,0,1057254.39,0,0,0,244222880,7731446.03,0.136182786,1057254.48
58,0.01,0.1301839,4,223,0,0.00995,1.51019555,0.00268234504,1.87311968e-05,0.00268323786,0.864572895,0.135427094,0,0,0.135427094,0,0.999999916,0,8.43961614e-08,0.135427094,0,0,0,1165532.95,0,0,1165532.95,0,1165532.95,0,0,0,251260019,8574299.83,0.135427105,1165533.05
59,0.01,0.132308481,4,225,0,0.00995,1.5396368,0.00272493885,1.88596056e-05,0.00272586357,0.864530005,0.135469984,0,0,0.135469984,0,0.999999916,0,8.35456133e-08,0.135469984,0,0,0,1177398.8,0,0,1177398.8,0,1177398.8,0,0,0,251906304,8659165.2,0.135469995,1177398.89
