cell_id,lat_deg,lon_w_deg,hemisphere,range_id,dose_at_depth_mgy_per_yr,mean_primary_penetration_cm,mean_secondary_ke_mev,mean_secondary_penetration_cm,deposited_fraction,backscatter_fraction,lateral_escape_fraction,forward_escape_fraction,escaped_electron_fraction,escaped_photon_fraction,nondeposited_escaped_electron_fraction,nondeposited_escaped_photon_fraction,nondeposited_unresolved_fraction,backscatter_electron_fraction,backscatter_photon_fraction,lateral_escape_electron_fraction,lateral_escape_photon_fraction,backscatter_flux_mev_cm2_s,lateral_escape_flux_mev_cm2_s,forward_escape_flux_mev_cm2_s,escaped_electron_flux_mev_cm2_s,escaped_photon_flux_mev_cm2_s,backscatter_electron_flux_mev_cm2_s,backscatter_photon_flux_mev_cm2_s,lateral_escape_electron_flux_mev_cm2_s,lateral_escape_photon_flux_mev_cm2_s,jde_flux_cm2_s,jde_energy_flux_model_mev_cm2_s,deflected_fraction,deflected_flux_mev_cm2_s
339,21,114,leading,122,0.000121187666,27.2344724,0.00444805892,27.2636256,0.748946669,0.012393727,0.182225383,0,0.00940147274,0.185217637,0.0374481099,0.737762117,0.224789773,0.00940147274,0.00299225422,0,0.182225383,4986.99813,73324.0008,0,3782.9724,74528.0265,3782.9724,1204.02573,0,73324.0008,8901.0788,402495.852,0.251053331,101019.048
340,21,126,leading,123,0.000114033914,27.8287933,0.00457383836,27.8593158,0.744356386,0.0122691142,0.185693287,0,0.00924489002,0.188717511,0.0361631957,0.73820546,0.225631344,0.00924489002,0.00302422418,0,0.185693287,4673.3483,70731.2193,0,3521.41078,71883.1569,3521.41078,1151.93752,0,70731.2193,8207.40885,381018.527,0.255643614,97375.5421
341,21,138,leading,125,9.5353005e-05,28.9296344,0.0047465503,28.9613609,0.736432135,0.0121405767,0.192153476,0,0.00904207546,0.195251977,0.0343064412,0.740803427,0.224890132,0.00904207546,0.00309850123,0,0.192153476,4176.73826,66106.8083,0,3110.75688,67172.7896,3110.75688,1065.98138,0,66106.8083,7069.752,344146.325,0.263567865,90675.5925
342,21,150,leading,130,7.66027035e-05,30.6944103,0.00508461966,30.7283886,0.722913061,0.0112576142,0.20341847,0,0.0081575083,0.206518576,0.0294402483,0.7453205,0.225239252,0.0081575083,0.00310010594,0,0.20341847,3270.81994,59101.7932,0,2370.10616,60002.507,2370.10616,900.713784,0,59101.7932,5541.63411,290657.952,0.277086939,80505.6442
343,21,162,leading,135,4.90356745e-05,33.8189732,0.00544061513,33.8557234,0.700758698,0.0101083531,0.220956384,0,0.00698867203,0.224076065,0.0233546371,0.74881396,0.227831403,0.00698867203,0.00311968112,0,0.220956384,2184.57839,47752.2435,0,1510.36491,48426.4569,1510.36491,674.213479,0,47752.2435,3663.3097,216231.19,0.299241302,64670.8789
344,21,174,leading,147,2.25462467e-05,38.9612859,0.00580256121,39.0002692,0.663223303,0.00768923104,0.251767452,0,0.0045714449,0.254885238,0.0135741129,0.756837515,0.229588372,0.0045714449,0.00311778614,0,0.251767452,934.66286,30603.5396,0,555.681023,30982.5215,555.681023,378.981838,0,30603.5396,1714.06602,121669.821,0.336776697,40936.8205
345,21,186,trailing,59,1.5396368,0.00272493885,1.88596056e-05,0.00272586357,0.864530005,0.135469984,0,0,0.135469984,0,0.999999916,0,8.35456133e-08,0.135469984,0,0,0,1177398.8,0,0,1177398.8,0,1177398.8,0,0,0,251906304,8659165.2,0.135469995,1177398.89
346,21,198,trailing,70,2.7931769,0.0137669677,4.6604294e-05,0.0137846471,0.87457372,0.125426275,0,0,0.125426275,0,0.999999961,0,3.91141027e-08,0.125426275,0,0,0,2668148.64,0,0,2668148.64,0,2668148.64,0,0,0,292617912,21240594.8,0.12542628,2668148.74
347,21,210,trailing,75,2.93803308,0.0321676558,0.000102442832,0.0322194038,0.891645185,0.108354812,0,0,0.108354812,0,0.999999971,0,2.89791286e-08,0.108354812,0,0,0,3601256.15,0,0,3601256.15,0,3601256.15,0,0,0,299780987,33218081.8,0.108354815,3601256.26
348,21,222,trailing,80,2.94370908,0.0359062369,0.000113985237,0.0359622609,0.895250287,0.10474971,0,0,0.10474971,0,0.999999972,0,2.83225823e-08,0.10474971,0,0,0,3684945.1,0,0,3684945.1,0,3684945.1,0,0,0,300088009,35160877.4,0.104749713,3684945.21
349,21,234,trailing,82,2.94479777,0.0369990408,0.000117463483,0.0370556598,0.896278823,0.10370503,1.2823073e-05,0,0.103705,1.28537126e-05,0.999844035,0.000123925635,3.20390014e-05,0.103705,3.06396489e-08,0,1.2823073e-05,3704754.87,458.091009,0,3704753.77,459.185579,3704753.77,1.09456974,0,458.091009,300145387,35706271.7,0.103721177,3705331.67
350,21,246,trailing,83,2.94508211,0.0374508282,0.000119637236,0.0375075591,0.896665916,0.103232214,7.85616677e-05,0,0.103231902,7.88743223e-05,0.99901115,0.00076329435,0.00022555549,0.103231902,3.12654619e-07,0,7.85616677e-05,3710290.66,2823.60137,0,3710279.42,2834.83855,3710279.42,11.2371852,0,2823.60137,300164797,35923516.4,0.103334084,3713951.97
351,21,258,trailing,84,2.94522456,0.0376599104,0.000120804055,0.0377167292,0.896798828,0.103033516,0.000127247134,0,0.103032603,0.000128159797,0.998366603,0.00124184439,0.000391552387,0.103032603,9.12662419e-07,0,0.000127247134,3713481.18,4586.176,0,3713448.29,4619.06971,3713448.29,32.8937112,0,4586.176,300173092,36023794.2,0.103201172,3719523.75
352,21,270,trailing,86,2.94525429,0.0377364273,0.000121246514,0.0377932619,0.896855115,0.102953254,0.000145105314,0,0.10295195,0.000146408862,0.998129473,0.00141944859,0.000451078718,0.10295195,1.30354858e-06,0,0.000145105314,3714206.43,5234.9107,0,3714159.4,5281.93834,3714159.4,47.0276399,0,5234.9107,300175900,36058936.7,0.103144885,3721119.86
353,21,282,trailing,84,2.94522456,0.0376599104,0.000120804055,0.0377167292,0.896798828,0.103033516,0.000127247134,0,0.103032603,0.000128159797,0.998366603,0.00124184439,0.000391552387,0.103032603,9.12662419e-07,0,0.000127247134,3713481.18,4586.176,0,3713448.29,4619.06971,3713448.29,32.8937112,0,4586.176,300173092,36023794.2,0.103201172,3719523.75
354,21,294,trailing,83,2.94508211,0.0374508282,0.000119637236,0.0375075591,0.896665916,0.103232214,7.85616677e-05,0,0.103231902,7.88743223e-05,0.99901115,0.00076329435,0.00022555549,0.103231902,3.12654619e-07,0,7.85616677e-05,3710290.66,2823.60137,0,3710279.42,2834.83855,3710279.42,11.2371852,0,2823.60137,300164797,35923516.4,0.103334084,3713951.97
355,21,306,trailing,82,2.94479777,0.0369990408,0.000117463483,0.0370556598,0.896278823,0.10370503,1.2823073e-05,0,0.103705,1.28537126e-05,0.999844035,0.000123925635,3.20390014e-05,0.103705,3.06396489e-08,0,1.2823073e-05,3704754.87,458.091009,0,3704753.77,459.185579,3704753.77,1.09456974,0,458.091009,300145387,35706271.7,0.103721177,3705331.67
356,21,318,trailing,80,2.94370908,0.0359062369,0.000113985237,0.0359622609,0.895250287,0.10474971,0,0,0.10474971,0,0.999999972,0,2.83225823e-08,0.10474971,0,0,0,3684945.1,0,0,3684945.1,0,3684945.1,0,0,0,300088009,35160877.4,0.104749713,3684945.21
357,21,330,trailing,75,2.93803308,0.0321676558,0.000102442832,0.0322194038,0.891645185,0.108354812,0,0,0.108354812,0,0.999999971,0,2.89791286e-08,0.108354812,0,0,0,3601256.15,0,0,3601256.15,0,3601256.15,0,0,0,299780987,33218081.8,0.108354815,3601256.26
358,21,342,trailing,70,2.7931769,0.0137669677,4.6604294e-05,0.0137846471,0.87457372,0.125426275,0,0,0.125426275,0,0.999999961,0,3.91141027e-08,0.125426275,0,0,0,2668148.64,0,0,2668148.64,0,2668148.64,0,0,0,292617912,21240594.8,0.12542628,2668148.74
359,21,354,trailing,59,1.5396368,0.00272493885,1.88596056e-05,0.00272586357,0.864530005,0.135469984,0,0,0.135469984,0,0.999999916,0,8.35456133e-08,0.135469984,0,0,0,1177398.8,0,0,1177398.8,0,1177398.8,0,0,0,251906304,8659165.2,0.135469995,1177398.89
